area_id,facility_id,area_name,type_id,square,sports
1000107,103971,универсальная спортивная площадка,12,647.0,"[0, 1, 2, 3]"
1000108,103976,универсальная спортивная площадка,12,788.0,"[0, 1, 3]"
1000109,103979,универсальная спортивная площадка,12,282.5,"[0, 1, 2, 3]"
1000110,103983,площадка для игры в футбол,24,514.5,"[0, 1, 3]"
1000112,103468,универсальная спортивная площадка,12,1344.0,"[0, 1, 2]"
1000113,102715,универсальная спортивная площадка,12,560.0,"[0, 1, 2, 3]"
1000131,104129,городок тренажерный (воркаут) старого типа,27,225.0,[21]
1000132,104128,городок тренажерный (воркаут) старого типа,27,120.0,[21]
1000133,104084,городок тренажерный (воркаут) старого типа,27,345.0,[21]
1000134,104081,площадка детская игровая в парке,37,90.0,[21]
1000135,104080,площадка для игры в баскетбол,28,232.0,[2]
1000136,104079,универсальная спортивная площадка,12,287.0,"[2, 3]"
1000137,104078,городок тренажерный универсальный,18,105.0,[21]
1000139,104076,городок тренажерный (воркаут) нового типа,26,50.0,"[21, 39]"
1000140,104075,городок тренажерный универсальный,18,200.0,[21]
1000141,104072,городок тренажерный универсальный,18,78.0,"[21, 39]"
1000142,104067,универсальная спортивная площадка,12,308.0,"[1, 2, 3]"
1000143,104065,городок тренажерный (воркаут) старого типа,27,131.0,[21]
1000200,104160,дорожка легкоатлетическая №1,4,300.0,[4]
1000201,104160,зал спортивный,5,288.0,"[2, 21, 7]"
1000369,100282,зал спортивный,5,162.0,[65]
1000379,103195,зал спортивный №2,5,75.0,"[44, 21]"
1000380,103161,зал спортивный,5,110.0,[28]
1000387,103626,бассейн плавательный 25-ти метровый крытый №2,20,312.5,[12]
1000388,103626,"бассейн плавательный 25-ти метровый крытый №1, «Прыжковый»",20,875.0,"[90, 12]"
1000389,103626,бассейн плавательный 50-ти метровый крытый,67,1250.0,[12]
1000390,103626,"зал спортивный №3, «Игровой»",5,1382.6,[3]
1000391,103626,ледовое поле крытое,0,1800.0,"[0, 1, 38]"
1000400,103385,универсальная спортивная площадка,12,841.8,"[1, 2, 3]"
1000420,104050,универсальная спортивная площадка,12,1007.0,"[2, 3, 21]"
1000422,104064,площадка детская игровая в парке,37,24.0,"[21, 15]"
1000423,104063,универсальная спортивная площадка,12,343.5,"[3, 21]"
1000424,104314,городок тренажерный (воркаут) старого типа,27,68.0,[21]
1000425,104313,площадка для игры в футбол,24,350.0,[3]
1000426,103942,площадка для игры в футбол,24,1125.0,"[0, 1, 3]"
1000427,103928,универсальная спортивная площадка №1,12,610.0,"[0, 1, 2, 3]"
1000488,104602,зал спортивный,5,162.0,[21]
1000501,104951,зал спортивный,5,268.8,"[2, 21, 7]"
1000527,104778,зал тренажерный,7,65.3,[32]
1000627,101967,универсальная спортивная площадка,12,1700.0,"[1, 3, 21, 7]"
1000651,104628,зал спортивный,5,162.0,"[2, 3, 21]"
1000658,103811,универсальная спортивная площадка,12,683.0,"[0, 1, 2, 3, 21]"
1000659,103815,городок тренажерный (воркаут) старого типа,27,56.0,[21]
1000660,103906,универсальная спортивная площадка,12,360.0,"[2, 3, 21]"
1000661,103978,городок тренажерный универсальный,18,180.0,[21]
1000663,103985,универсальная спортивная площадка,12,540.0,"[1, 2, 3, 21]"
1000664,104124,городок тренажерный универсальный,18,440.0,[21]
1000665,104123,"роллердром, скейтпарк открытый",43,374.0,[91]
1000666,104122,городок тренажерный универсальный,18,264.0,[30]
1000667,104121,универсальная спортивная площадка,12,541.2,"[2, 3, 21]"
1000668,104120,универсальная спортивная площадка,12,544.0,"[2, 3, 21]"
1000669,104099,универсальная спортивная площадка,12,1824.0,"[1, 2, 3, 21]"
1000670,104096,универсальная спортивная площадка,12,540.0,"[1, 2, 3]"
1000671,104093,универсальная спортивная площадка,12,457.0,"[1, 2, 3, 21]"
1000728,101205,бассейн плавательный крытый площадью менее 60-ти квадратных метров,30,15.0,[21]
1000735,103475,зал спортивный №1,5,48.0,[20]
1000736,103475,зал спортивный №2,5,30.0,[15]
1000739,104002,Зал спортивный,5,247.6,"[2, 3, 37, 7, 45, 19]"
1000742,104371,бассейн плавательный 25-ти метровый крытый,20,350.0,"[48, 12]"
1000743,104371,зал спортивный №1,5,108.0,"[2, 3]"
1000744,104371,зал спортивный №2,5,100.9,[7]
1000745,104371,зал спортивный №3,5,210.6,[6]
1000750,104371,зал тренажерный,7,129.8,[94]
1000751,104371,манеж легкоатлетический,78,1398.0,[4]
1000752,104388,зал тренажерный,7,250.8,"[43, 28, 30]"
1000753,104565,зал спортивный,5,69.0,[21]
1000754,104566,зал спортивный №1,5,76.2,[21]
1000831,104566,зал спортивный №2,5,48.0,[21]
1000833,101208,площадка для игры в футбол,24,1500.0,[3]
1000834,104139,зал спортивный,5,150.0,"[3, 21]"
1000839,101209,зал спортивный №1,5,144.5,"[65, 53]"
1000840,101209,зал спортивный №2,5,162.0,"[6, 41, 10, 45, 13]"
1000841,101209,зал теннисный №1,32,288.0,[14]
1000842,101209,площадка для игры в футбол №1,24,800.0,[3]
1000843,101209,теннисный корт №1,23,288.0,[14]
1000844,101209,теннисный корт №2,23,288.0,[14]
1000845,101209,теннисный корт №3,23,288.0,[14]
1000846,101209,теннисный корт №4,23,288.0,[14]
1000847,104441,зал спортивный №1,5,1633.0,[7]
1000848,104441,зал спортивный №2,5,90.0,[6]
1000849,104441,зал спортивный №3,5,1008.0,"[20, 126]"
1000850,104441,зал спортивный №4,5,384.0,[15]
1000851,104441,зал тренажерный,7,480.0,[28]
1000852,104485,зал спортивный №1,5,144.0,[28]
1000853,104485,зал спортивный №2,5,144.0,[10]
1000854,104485,зал спортивный №3,5,595.0,"[2, 3]"
1000855,104485,поле футбольное,3,5000.6,[3]
1000861,104542,зал спортивный,5,162.0,"[2, 21]"
1000862,104542,площадка для игры в футбол,24,2100.0,"[105, 3]"
1000956,103156,бассейн плавательный 25-ти метровый крытый,20,200.0,[12]
1000957,103156,зал спортивный №1,5,336.0,"[2, 21]"
1001015,101353,велодорожка района Новокосино,38,400.0,[72]
1001017,101357,"дорожка велосипедная, «велодорожка района Новокосино»",38,1176.0,[72]
1001019,102086,велодром «Амурский»,47,1120.0,[85]
1001049,100000,зал спортивный,5,534.6,"[2, 3, 29, 7]"
1001050,100000,зал тренажерный,7,100.0,[21]
1001051,103750,Скалодром,45,62.4,"[88, 21]"
1001065,104232,каток с натуральным льдом,1,3000.0,[1]
1001068,103889,площадка для игры в футбол,24,1310.0,"[3, 21]"
1001069,104478,площадка для игры в футбол,24,345.0,"[0, 1, 3]"
1001070,104507,универсальная спортивная площадка,12,640.0,"[2, 3]"
1001072,102515,площадка для игры в баскетбол,28,300.0,[2]
1001073,102539,универсальная спортивная площадка,12,415.1,"[0, 2]"
1001076,103698,каток с натуральным льдом,1,5000.0,"[1, 38]"
1001080,104517,универсальная спортивная площадка,12,308.0,"[2, 3]"
1001084,103734,универсальная спортивная площадка,12,333.7,"[0, 1, 2, 3]"
1001277,103992,зал спортивный,5,360.0,[126]
1001278,104666,"зал спортивный №1, «хореографический»",5,77.9,[44]
1001291,103445,спортивный зал,5,92.4,"[24, 10, 35, 13]"
1001296,101349,зал спортивный,5,56.0,[21]
1001300,104197,зал спортивный №1,5,120.0,[15]
1001304,103242,зал спортивный,5,27.2,"[21, 15]"
1001305,102782,"зал спортивный, «зал для занятий спортом, танцами, вокалом»",5,410.0,[44]
1001306,103352,зал спортивный,5,30.0,"[65, 33, 53]"
1001307,102894,зал бильярдный,17,280.0,[31]
1001321,102665,"зал спортивный, «Покровка»",5,85.5,[15]
1001329,104330,зал спортивный №1,5,50.3,"[35, 21]"
1001330,103338,площадка детская игровая в парке,37,50.0,[74]
1001370,102223,зал спортивный №1,5,88.2,[30]
1001371,102223,зал спортивный №3,5,42.0,[89]
1001372,102223,зал спортивный №2,5,39.6,[44]
1001374,103131,зал спортивный,5,75.7,[112]
1001376,102843,бассейн плавательный 25-ти метровый крытый,20,350.0,[12]
1001377,102843,зал спортивный,5,280.0,[21]
1001382,103634,зал спортивный,5,171.0,"[2, 21, 7]"
1001383,103634,зал тренажерный,7,66.0,"[28, 21]"
1001384,103634,универсальная спортивная площадка,12,250.0,"[2, 3]"
1001385,102363,зал спортивный,5,2160.0,"[2, 3, 4, 7]"
1001391,103608,бассейн плавательный 25-ти метровый крытый,20,300.0,[12]
1001399,103659,зал спортивный №1,5,450.0,"[2, 3]"
1001400,103659,зал спортивный №2,5,450.0,"[21, 6, 15]"
1001401,103659,зал спортивный №3,5,150.0,"[65, 89, 21]"
1001402,103659,зал тренажерный №1,7,200.0,"[43, 21]"
1001430,103727,зал спортивный,5,148.4,"[2, 3, 7, 14, 21]"
1001458,104141,городок тренажерный (воркаут) нового типа,26,120.0,"[21, 39]"
1001460,103731,стрелковый тир,6,37.9,[23]
1001461,103731,зал спортивный,5,80.0,[11]
1001462,103722,зал спортивный,5,55.5,[33]
1001654,101571,зал тренажерный,7,230.0,"[43, 28]"
1001655,102034,зал спортивный №1,5,62.5,"[45, 11, 69]"
1001656,102034,зал спортивный №2,5,45.0,"[11, 45, 69]"
1001657,101922,зал спортивный №3,5,72.0,"[65, 11, 45, 41]"
1001658,101922,зал спортивный №2,5,66.0,"[35, 68, 11, 108, 45]"
1001659,101922,зал спортивный №1,5,108.0,"[65, 29, 53]"
1001660,101746,зал спортивный,5,23.4,[21]
1001663,101753,"зал спортивный, «на первом этаже жилого здания»",5,23.4,[44]
1001669,103513,зал спортивный,5,75.5,[44]
1001673,103102,зал спортивный №1,5,216.0,[21]
1001674,103102,зал спортивный №2,5,50.0,"[9, 21]"
1001675,104933,зал спортивный №1,5,24.0,"[33, 34]"
1001676,104933,зал спортивный №2,5,16.0,"[33, 34]"
1001678,104360,зал спортивный №1,5,126.0,"[89, 44, 20]"
1001681,104360,зал спортивный №2,5,30.3,"[32, 107, 6, 15]"
1001682,104360,зал тренажерный,7,66.8,"[107, 43, 21, 28, 94]"
1001683,103306,зал спортивный,5,340.0,"[65, 21, 55]"
1001686,103702,зал спортивный,5,15.0,"[33, 66]"
1001687,103719,зал спортивный,5,64.0,"[21, 6]"
1001688,103721,зал тренажерный,7,120.0,"[43, 46]"
1001689,103433,зал спортивный,5,202.1,"[41, 6, 15]"
1001694,103128,зал тренажерный,7,99.6,[28]
1001695,103128,зал спортивный,5,150.0,[13]
1001697,103700,зал спортивный,5,162.0,"[53, 15]"
1001699,103346,зал спортивный,5,83.4,[35]
1001700,103438,зал спортивный,5,87.5,"[81, 19, 44, 29]"
1001702,103132,зал спортивный,5,60.2,"[64, 65, 21]"
1001703,102003,зал спортивный,5,45.0,"[21, 15]"
1001705,103031,зал спортивный,5,160.0,"[44, 15, 7]"
1001706,103368,зал спортивный №1,5,39.5,[15]
1001707,104674,зал спортивный №1,5,510.0,[13]
1001708,103467,зал тренажерный,7,80.0,[30]
1001710,103590,зал спортивный №1,5,23.5,[33]
1001712,101693,зал спортивный,5,50.6,"[32, 29, 15]"
1001713,103771,зал спортивный №1,5,91.3,[15]
1001714,103771,зал спортивный №2,5,58.0,[20]
1001742,103987,зал спортивный,5,288.0,"[2, 3, 7]"
1001743,103987,универсальная спортивная площадка,12,126.0,"[2, 3, 21]"
1001810,101454,зал спортивный,5,162.0,"[3, 21]"
1002117,103267,зал спортивный,5,56.9,"[82, 44, 69]"
1002126,102101,зал спортивный,5,108.0,[21]
1002127,102463,зал спортивный,5,512.0,"[108, 44]"
1002128,103248,зал спортивный,5,118.5,"[46, 11, 6]"
1002133,104125,зал спортивный №1,5,58.7,[53]
1002143,102640,зал спортивный №1,5,72.0,[13]
1002146,103400,зал бильярдный,17,450.0,[31]
1002148,101739,зал тренажерный,7,86.0,"[28, 30]"
1002149,101546,зал спортивный №1,5,102.0,"[9, 20]"
1002155,101576,поле конно-спортивное для конкура и выездки,54,3000.0,[101]
1002159,102884,зал спортивный,5,84.0,"[11, 20]"
1002174,101612,зал спортивный,5,268.7,"[8, 2, 7]"
1002181,103924,зал спортивный,5,67.0,"[21, 126]"
1002182,103924,зал тренажерный,7,150.0,[28]
1002183,104191,зал спортивный,5,35.2,"[20, 45]"
1002184,104327,зал спортивный №1,5,17.8,[136]
1002195,103265,зал спортивный,5,30.0,[21]
1002196,103213,зал спортивный №1,5,96.0,[21]
1002197,103213,зал спортивный №2,5,69.9,"[9, 21]"
1002198,103213,зал тренажерный,7,104.0,"[21, 30]"
1002199,103213,зал спортивный №4,5,77.3,[44]
1002200,103213,зал спортивный №3,5,92.0,[21]
1002203,104577,зал спортивный №1,5,20.0,[6]
1002204,104577,зал спортивный №2,5,20.0,[44]
1002205,104577,зал спортивный №3,5,20.0,[21]
1002292,102517,зал спортивный,5,60.0,[15]
1002293,104386,зал спортивный,5,44.0,[21]
1002300,104315,зал спортивный №1,5,25.0,[15]
1002304,103426,зал спортивный №1,5,90.0,"[41, 21, 6]"
1002307,103416,зал спортивный №1,5,105.0,"[89, 44]"
1002308,103416,зал спортивный №2,5,126.0,"[69, 15]"
1002309,101993,зал тренажерный,7,33.6,[30]
1002310,103881,зал спортивный,5,120.0,[29]
1002311,102809,зал спортивный,5,22.6,[44]
1002314,102072,зал спортивный,5,437.5,[29]
1002315,102075,зал тренажерный,7,90.0,[28]
1002317,102001,зал спортивный,5,220.0,[37]
1002318,101544,зал спортивный,5,372.0,"[44, 21]"
1002319,104055,зал спортивный,5,360.0,"[9, 21]"
1002320,101856,зал спортивный,5,60.0,"[20, 94]"
1002324,104852,зал тренажерный №1,7,36.4,"[107, 21]"
1002325,104852,зал тренажерный №2,7,36.2,"[21, 30]"
1002327,101999,Тренажерный зал,5,155.9,"[2, 3, 21]"
1002328,101620,зал спортивный,5,70.0,"[89, 21, 15]"
1002329,101620,зал тренажерный,7,25.0,"[43, 28, 21]"
1002330,104082,зал спортивный,5,240.0,"[108, 6]"
1002331,101578,зал спортивный №1,5,190.0,"[64, 10, 15]"
1002332,101578,зал спортивный №2,5,190.0,"[44, 21]"
1002333,101578,зал спортивный №3,5,190.0,[21]
1002334,101571,зал спортивный №1,5,72.0,"[65, 35, 45, 21, 95]"
1002335,101571,"зал спортивный №2, «Борцовский зал-большой»",5,120.0,"[35, 69, 10, 19, 126]"
1002336,101571,зал спортивный №3,5,120.0,"[65, 29, 82, 53]"
1002337,101571,зал спортивный №4,5,45.0,[21]
1002430,101636,дорожка беговая-прогулочная,36,3000.0,[4]
1002435,103340,площадка детская игровая в парке,37,900.0,[74]
1002436,103340,городок тренажерный универсальный,18,1080.0,[21]
1002437,105767,площадка для пляжных видов спорта,9,920.0,[7]
1002438,105767,площадка для игры в настольный теннис,33,930.0,[15]
1002697,105393,городок тренажерный (воркаут) нового типа,26,132.0,"[21, 39]"
1002699,105307,площадка детская игровая в парке №2,37,225.0,[74]
1002701,105424,универсальная спортивная площадка,12,80.0,"[2, 3]"
1002706,103225,зал тренажерный,7,538.0,"[21, 30]"
1002707,104829,зал тренажерный,7,120.3,[30]
1002708,103104,зал спортивный,5,175.0,[21]
1002709,103104,зал тренажерный,7,250.0,"[21, 30]"
1002710,105174,зал тренажерный,7,252.0,"[21, 30]"
1002711,105452,зал спортивный,5,166.5,[11]
1002726,103295,бассейн плавательный крытый,22,315.0,[12]
1002727,103295,зал спортивный,5,187.0,[21]
1002729,103609,универсальная спортивная площадка №2,12,450.0,"[5, 7]"
1002730,103609,площадка для игры в футбол,24,800.0,[3]
1002731,103609,городок тренажерный универсальный,18,170.0,"[21, 39]"
1002732,103609,площадка для игры в волейбол,42,450.0,[7]
1002733,103940,универсальная спортивная площадка,12,429.4,"[2, 3, 21, 7]"
1002734,102077,дорожка беговая-прогулочная,36,4500.0,[92]
1002736,103164,дорожка беговая-прогулочная,36,14000.0,"[115, 92]"
1002759,104098,зал спортивный №1,5,47.1,[15]
1002760,104302,зал спортивный,5,50.0,[6]
1002761,104302,зал тренажерный №1,7,40.0,[28]
1002763,104097,зал спортивный,5,20.0,[21]
1002764,104639,зал спортивный,5,179.5,"[2, 21, 7]"
1002765,104112,зал спортивный,5,160.0,"[65, 7]"
1002768,104113,зал спортивный,5,165.1,"[2, 21]"
1002770,101540,зал спортивный,5,135.5,[21]
1002771,101540,универсальная спортивная площадка,12,450.0,[21]
1002773,103226,бассейн плавательный площадью более 60-ти кв.м крытый,22,480.4,[12]
1002774,103226,"зал спортивный №1, «Групповых программ»",5,139.0,[64]
1002775,103226,"зал тренажерный №1, «Силовых тренировок»",7,128.9,[30]
1002776,103226,"зал тренажерный №2, «Кардиотренировок»",7,215.9,[21]
1002778,103902,зал спортивный,5,108.0,[21]
1002782,102171,универсальная спортивная площадка,12,857.6,"[21, 7]"
1002784,102173,универсальная спортивная площадка,12,600.0,"[0, 1, 3]"
1002785,101266,универсальная спортивная площадка,12,606.0,"[2, 21, 7]"
1002786,102174,городок тренажерный (воркаут) нового типа,26,516.0,"[21, 39]"
1002787,102233,универсальная спортивная площадка,12,888.0,"[0, 1, 3]"
1002788,102175,площадка для игры в футбол,24,858.0,"[0, 1, 3]"
1002789,102316,городок тренажерный (воркаут) нового типа,26,37.3,"[21, 39]"
1002790,102306,универсальная спортивная площадка,12,450.0,"[3, 7]"
1002791,102301,универсальная спортивная площадка,12,875.0,"[0, 1, 2, 3]"
1002792,102300,универсальная спортивная площадка,12,441.0,"[3, 21]"
1002793,102299,универсальная спортивная площадка,12,540.0,"[1, 2, 3]"
1002795,102264,универсальная спортивная площадка,12,770.0,"[8, 1, 2, 3]"
1002796,102263,городок тренажерный универсальный,18,410.0,[21]
1002798,102262,универсальная спортивная площадка,12,464.0,"[0, 1, 3]"
1002799,102261,универсальная спортивная площадка,12,600.0,"[2, 3, 21]"
1002800,102260,универсальная спортивная площадка,12,612.0,"[2, 3]"
1002801,102320,универсальная спортивная площадка,12,600.0,"[3, 21]"
1002805,102255,городок тренажерный (воркаут) нового типа,26,210.0,"[21, 39]"
1002806,101705,универсальная спортивная площадка,12,509.4,"[65, 2, 3, 21]"
1002807,101700,универсальная спортивная площадка,12,216.0,"[1, 2, 21, 7]"
1002808,101703,универсальная спортивная площадка,12,872.0,"[0, 1, 3, 21]"
1002809,101707,универсальная спортивная площадка,12,336.0,"[65, 2, 3, 21]"
1002810,101711,универсальная спортивная площадка,12,336.0,"[65, 2, 3, 21]"
1002811,101715,универсальная спортивная площадка,12,722.1,"[0, 2, 3, 21]"
1002812,101712,универсальная спортивная площадка,12,820.0,"[0, 1, 2, 3, 21]"
1002813,101717,универсальная спортивная площадка,12,243.2,"[3, 21]"
1002814,101718,универсальная спортивная площадка,12,616.0,"[0, 1, 2, 3, 21]"
1002816,101724,универсальная спортивная площадка,12,273.0,"[2, 3, 21]"
1002817,102109,универсальная спортивная площадка,12,330.0,"[1, 2, 3, 21]"
1002818,102110,универсальная спортивная площадка,12,408.0,"[0, 1, 3, 21]"
1002820,102115,универсальная спортивная площадка,12,740.0,"[2, 3, 21]"
1002821,102439,универсальная спортивная площадка,12,210.2,"[2, 3, 21]"
1002822,102454,универсальная спортивная площадка,12,288.0,"[2, 3, 21]"
1002823,102657,универсальная спортивная площадка,12,350.9,"[2, 3, 21]"
1002824,102667,универсальная спортивная площадка,12,240.0,"[2, 3, 21]"
1002825,102672,универсальная спортивная площадка,12,288.0,"[2, 3, 21]"
1002826,101921,универсальная спортивная площадка,12,189.0,"[2, 21]"
1002827,101924,универсальная спортивная площадка,12,1435.5,"[0, 1, 2, 3, 21]"
1002828,101931,универсальная спортивная площадка,12,288.2,"[2, 3, 21]"
1002829,101932,универсальная спортивная площадка,12,464.2,"[2, 3, 21]"
1002830,102796,универсальная спортивная площадка,12,240.0,"[2, 3, 21]"
1002831,102950,городок тренажерный универсальный,18,100.0,[21]
1002832,102951,универсальная спортивная площадка,12,288.0,"[2, 3, 21]"
1002833,102960,универсальная спортивная площадка,12,680.0,"[2, 3, 21]"
1002834,102962,универсальная спортивная площадка,12,270.0,"[2, 3, 21]"
1002835,102965,универсальная спортивная площадка,12,299.0,"[2, 3, 21]"
1002836,102966,универсальная спортивная площадка,12,299.0,"[2, 3, 21]"
1002837,102977,теннисный корт,23,800.0,[14]
1002838,102987,универсальная спортивная площадка,12,190.0,"[2, 3, 21]"
1002839,102990,универсальная спортивная площадка,12,190.0,"[2, 3, 21]"
1002840,101885,универсальная спортивная площадка,12,50.0,[2]
1002841,101886,универсальная спортивная площадка,12,800.0,"[0, 1, 2]"
1002842,101888,универсальная спортивная площадка,12,273.0,"[0, 1, 2, 3]"
1002843,101890,универсальная спортивная площадка №2,12,300.0,"[2, 3, 21]"
1002844,102079,универсальная спортивная площадка,12,1447.2,"[0, 1, 2, 3]"
1002845,102083,универсальная спортивная площадка,12,178.0,"[2, 21]"
1002846,102432,универсальная спортивная площадка,12,390.0,"[0, 1, 2, 3]"
1002847,102433,универсальная спортивная площадка,12,1316.9,"[2, 3, 84, 21]"
1002848,101839,городок тренажерный (воркаут) старого типа,27,100.0,[21]
1002849,101840,универсальная спортивная площадка,12,216.0,"[2, 3, 21]"
1002850,101843,универсальная спортивная площадка,12,273.0,"[2, 3]"
1002851,101844,универсальная спортивная площадка,12,400.0,"[2, 3]"
1002852,101845,универсальная спортивная площадка,12,235.6,"[2, 3, 21]"
1002853,101849,универсальная спортивная площадка,12,1327.0,"[2, 3]"
1002854,102670,универсальная спортивная площадка,12,881.0,"[0, 1, 2]"
1002855,102668,универсальная спортивная площадка,12,391.1,"[0, 1, 2]"
1002856,102669,универсальная спортивная площадка,12,312.0,"[2, 7]"
1002857,101926,универсальная спортивная площадка,12,134.0,"[21, 3, 5]"
1002858,101928,универсальная спортивная площадка,12,294.0,"[2, 3, 21, 7]"
1002859,101945,универсальная спортивная площадка,12,103.0,"[2, 21]"
1002860,101946,универсальная спортивная площадка,12,273.0,"[0, 1, 2, 3, 21]"
1002861,101947,универсальная спортивная площадка,12,656.1,[3]
1002862,101948,универсальная спортивная площадка,12,143.0,"[3, 21]"
1002863,102417,универсальная спортивная площадка,12,144.0,"[2, 21]"
1002864,101949,универсальная спортивная площадка,12,732.0,"[0, 1, 2]"
1002865,101950,универсальная спортивная площадка,12,84.0,[2]
1002866,101951,площадка для игры в волейбол,42,184.8,[7]
1002868,102570,площадка для игры в баскетбол,28,47.0,[2]
1002869,102572,универсальная спортивная площадка,12,239.0,"[2, 21]"
1002870,103017,универсальная спортивная площадка,12,344.0,"[2, 3]"
1002871,103016,площадка для игры в баскетбол,28,54.0,[2]
1002872,103018,универсальная спортивная площадка,12,154.0,"[2, 3, 21]"
1002873,102993,теннисный корт №1,23,300.0,[14]
1002874,102994,универсальная спортивная площадка,12,368.0,"[0, 1, 3]"
1002875,102981,универсальная спортивная площадка,12,77.0,[2]
1002876,104189,городок тренажерный универсальный,18,240.0,"[21, 39]"
1002877,104321,площадка для игры в футбол,24,603.0,"[0, 1, 3, 21]"
1002878,102088,универсальная спортивная площадка,12,500.0,"[0, 2, 3]"
1002879,102094,универсальная спортивная площадка,28,405.0,"[2, 21]"
1002880,102095,универсальная спортивная площадка,12,300.0,"[2, 3]"
1002881,102686,городок тренажерный универсальный,18,240.0,"[4, 15]"
1002882,102687,площадка для игры в футбол,24,400.0,[3]
1002883,102689,универсальная спортивная площадка,12,240.0,"[2, 3]"
1002885,102028,универсальная спортивная площадка,12,1800.0,"[0, 1, 2, 3]"
1002886,102050,универсальная спортивная площадка,12,800.0,"[0, 1, 2, 3, 7]"
1002887,102057,универсальная спортивная площадка,12,364.5,"[2, 3, 7]"
1002889,102476,универсальная спортивная площадка,12,393.0,"[2, 3]"
1002890,102745,универсальная спортивная площадка,12,440.0,"[2, 3]"
1002891,102746,площадка для игры в футбол,24,800.0,"[0, 1, 3]"
1002892,102747,универсальная спортивная площадка,12,800.0,"[0, 1, 3]"
1002893,102750,площадка для игры в футбол,24,400.0,[3]
1002895,101821,универсальная спортивная площадка,12,273.0,"[65, 2, 3, 21]"
1002896,101822,универсальная спортивная площадка,12,234.0,"[0, 65, 2, 3, 1, 21]"
1002898,102081,городок тренажерный (воркаут) нового типа,26,480.0,"[21, 39]"
1002899,102084,универсальная спортивная площадка,12,350.0,"[65, 1, 3, 5, 21]"
1002900,102085,универсальная спортивная площадка,12,300.0,"[65, 2, 3, 106]"
1002901,102106,универсальная спортивная площадка,12,882.0,"[2, 3]"
1002902,102111,универсальная спортивная площадка,12,702.0,"[0, 65, 2, 1, 5, 8, 21]"
1002903,102286,универсальная спортивная площадка,12,330.1,"[65, 2, 21, 5]"
1002905,102391,универсальная спортивная площадка,12,253.0,"[0, 65, 2, 1, 5, 21]"
1002906,102423,универсальная спортивная площадка,12,360.0,"[0, 65, 1, 5, 7, 21]"
1002907,102424,универсальная спортивная площадка,12,81.0,"[65, 2, 21]"
1002908,102491,универсальная спортивная площадка,12,1000.0,"[1, 2, 3]"
1002909,102497,универсальная спортивная площадка,12,2081.1,"[0, 65, 2, 1, 4, 5, 39, 8, 21]"
